Pais;Poblacion;Poblacion;Poblacion;Independencia;Capital
Antigua y Barbuda;95 581;95581;95581.00;1981;Saint John's
Argentina República Argentina;45 030 748;45030748;45030748.00;1816;Buenos Aires
Bahamas Mancomunidad de las Bahamas;328 316;328316;328316.00;1973;Nasáu
Barbados;292 495;292495;292495.00;1966;Bridgetown
Belice;356 858;356858;356858.00;1981;Belmopán
Bolivia Estado Plurinacional de Bolivia;11 969 649;11969649;11969649.00;1825;Sucre[65]​
Brasil República Federativa de Brasil;211 823 665;211823665;211823665.00;1822;Brasilia
Canadá;37 411 590;37411590;37411590.00;1867;Ottawa
Chile República de Chile;18 650 114;18650114;18650114.00;1818;Santiago
Colombia República de Colombia;50 220 856;50220856;50220856.00;1810;Bogotá
Costa Rica República de Costa Rica;6 172 543;6172543;6172543.00;1838;San José
Cuba República de Cuba;11 179 995;11179995;11179995.00;1902;La Habana
Dominica Mancomunidad de Dominica;74 757;74757;74757.00;1978;Roseau
Ecuador República del Ecuador;17 080 778;17080778;17080778.00;1830;Quito
El Salvador República de El Salvador;6 356 670;6356670;6356670.00;1841;San Salvador
Estados Unidos Estados Unidos de América;329 995 528;329995528;329995528.00;1776;Washington D. C.
Granada;111 229;111229;111229.00;1974;Saint George
Guatemala República de Guatemala;15 289 958;15289958;15289958.00;1840;Ciudad de Guatemala
Guyana República Cooperativa de Guyana;1 035 909;1035909;1035909.00;1966;Georgetown
HaitíRepública de Haití;11 485 800;11485800;11485800.00;1804;Puerto Príncipe
Honduras República de Honduras;8 893 259;8893259;8893259.00;1838;Tegucigalpa
Jamaica;3 070 340;3070340;3070340.00;1962;Kingston
México Estados Unidos Mexicanos;128 166 749;128166749;128166749.00;1821;Ciudad de México
Nicaragua República de Nicaragua;7 366 798;7366798;7366798.00;1838;Managua
Panamá República de Panamá;5 005 246;5005246;5005246.00;1903;Ciudad de Panamá
Paraguay República del Paraguay;7 162 812;7162812;7162812.00;1811;Asunción
Perú República del Perú;33 050 325;33050325;33050325.00;1821;Lima
República Dominicana;10 606 865;10606865;10606865.00;1844;Santo Domingo
San Cristóbal y Nieves Federación de San Cristóbal y Nieves;53 329;53329;53329.00;1983;Basseterre
San Vicente y las Granadinas;106 350;106350;106350.00;1979;Kingstown
Santa Lucía;167 464;167464;167464.00;1979;Castries
Surinam República de Surinam;595 824;595824;595824.00;1975;Paramaribo
Trinidad y Tobago República de Trinidad y Tobago;1 320 479;1320479;1320479.00;1962;Puerto España
UruguayRepública Oriental del Uruguay;3 286 314;3286314;3286314.00;1828;Montevideo
Venezuela República Bolivariana de Venezuela;28 500 302;28500302;28500302.00;1811;Caracas
